"key","en","jp","ch","tc","ru","sp","latam","gr","pl","it","tr","fr","br","pr","kr","hu",""
"batgun_description","Shoot bats that chase down enemies. Bats are both bullets and summons.","敵を追尾するコウモリを撃つ。コウモリは弾でもあり、召喚物でもある。","发射蝙蝠追击敌人。蝙蝠同时享受子弹和召唤物加成。","發射蝙蝠追擊敵人。蝙蝠同時享受子彈和召喚物加成。","Стреляет летучими мышами с автонаведением на врагов. Летучие мыши — это одновременно и снаряды, и призывы.","Dispara murcielagos que cazan a los enemigos. Los muercielagos son Balas e Invocaciones.","Dispara murcielagos que cazan a los enemigos. Los muercielagos son Balas e Invocaciones.","Schieße Fledermäuse, die Gegner verfolgen. Fledermäuse zählen gleichzeitig als Projektil und als Beschwörung.","Strzelaj nietoperzami goniącymi za przeciwnikami. Nietoperze to zarówno pociski jak i przywołania.","Spara pipistrelli che inseguono i nemici. I pipistrelli sono considerati allo stesso tempo proiettili ed evocazioni","Düşmanlarını takip eden yarasalar ateş et. Bu yarasalar hem mermi hem de çağırma hasarından etkilenir.","Tire des chauve-souris qui poursuivent les ennemis. Les chauve-souris sont à la fois des balles et des invocations.","Dispara morcegos que perseguem os inimigos. Morcegos contam como disparos e como seguidores.","Dispara morcegos que perseguem os inimigos. Morcegos contam como disparos e como seguidores.","두 마리의 박쥐 유도탄을 발사합니다. 박쥐는 탄환인 동시에 소환수입니다.","Denevéreket lőssz amik ellenfeleket kergetnek. A denevérek Golyónak és Idézett Lénynek számítanak.",""
"abby_name","Abby","アビー","艾比","艾比","Эбби","Abby","Abby","Abby","Abby","Abby","Abby","Abby","Abby","Abby","애비","Abby",""
"abby_description","Right click to quickly shoot all of your remaining ammo in random directions.","右クリックで残弾をランダムな方向に一気に撃ち切る。","点击鼠标右键，将剩余弹药向随机方向倾泻。","點擊滑鼠右鍵，將剩餘彈藥向隨機方向傾瀉。","Правый клик, чтобы быстро расстрелять весь боезапас в случайные стороны.","Haz click derecho rapidamente para disparar todas las municiones restantes de forma aleatorea.","Haz click derecho rapidamente para disparar todas las municiones restantes de forma aleatorea.","Klicke die rechte Maustaste, um schnell deine übrige Munition in zufällige Richtung zu schießen.","Kliknij prawym przyciskiem myszy by szybko wystrzelić pozostałą amunicję w losowych kierunkach.","Premi il tasto destro per sparare tutte le tue munizioni in direzioni casuali","Sağ tuşa basarak şarjörde kalan bütün mermilerini rastgele yerlere sık.","Clic doit pour tirer toutes vos munitions restantes dans des directions aléatoires.","Clique com o Botão Direito do Mouse para disparar rapidamente toda a sua munição restante em direções aleatórias.","Clique com o Botão Direito do Mouse para disparar rapidamente toda a sua munição restante em direções aleatórias.","우클릭 시 남은 모든 탄환을 무작위 방향으로 발사합니다.","Nyomd meg a jobb egérgombot hogy össze-vissza lődd a maradék lőszered.",""
"spark_name","Spark","スパーク","花火","花火","Спарк","Spark","Spark","Spark","Spark","Spark","Spark","Spark","Spark","Spark","스파크","Spark",""
"spark_description","Your bullets have a 50% chance call down Lightning on impact for 5 damage.","着弾時に50%の確率で雷を落とし、5ダメージを与える。","你的子弹击中目标时有50%几率召唤闪电，对其造成5点伤害。","你的子彈擊中目標時有50%紀律召喚閃電，對其造成5點傷害。","Ваши снаряды бьют молнией, наносящей 5 урона.","Tus balas tienen 50% chance de convocan Electrocutación y hacer 5 de daño.","Tus balas tienen 50% chance de convocan Electrocutación y hacer 5 de daño.","Deine Schüsse haben eine Chance von 50% einen Blitz für 5 Schaden einschlagen zu lassen.","Po uderzeniu twoje pociski mają 50% szansy by przywołać pioruny zadające 5 obrażeń.","I tuoi proiettili hanno una possibilità del 50% du evocare un fulmine all'impatto, che infligge 5 danni.","Mermilerin düşmana %50 şansla 5 hasar veren Yıldırım indirir.","Vos balles provoquent des éclairs à l'impact et infligent 5 points de dégâts.","Seus disparos tem 50% de chance ao impacto de convocar um raio que causa 5 de dano.","Seus disparos tem 50% de chance ao impacto de convocar um raio que causa 5 de dano.","탄환이 50%의 확률로 5 대미지를 가하는 번개를 내리칩니다.","A kilőtt golyóknak 50% esélye van arra, hogy villámcsapást hívjanak le találatkor.",""
"lilith_name","Lilith","リリス","莉莉丝","莉莉絲","Лилит","Lilith","Lilith","Lilith","Lilith","Lilith","Lilith","Lilith","Lilith","Lilith","릴리스","Lilith",""
"lilith_description","When enemies are killed, summon a spirit. Spirits chase down near by enemies and deal 8 damage.","敵を倒すと霊体を召喚する。<br>霊体は敵を追尾して8ダメージを与える。","敌人死亡时，召唤一个灵魂追击附近的敌人，造成8点伤害。","敵人死亡時，召喚一個靈魂追擊附近的敵人，造成8點傷害。","Призывает души убитых противников, наносящих 8 урона ближайшим врагам.","Cuando tus enemigos mueren, invocan un espíritu. Los espíritus cazan a los enemigos cercanos y hacen 8 de daño.","Cuando tus enemigos mueren, invocan un espíritu. Los espíritus cazan a los enemigos cercanos y hacen 8 de daño.","Beschwören einen Geist, wenn du Gegner tötest. Geister verfolgen nahe Gegner und verursachen 8 Schaden.","Gdy giną przeciwnicy, przywołuje duchy. Duchy gonią za pobliskimi przeciwnikami, zadając 8 obrażeń.","Quando uccidi un nemico, evoca uno spirito. Gli spiriti inseguono i nemici vicini e infliggono 8 danni.","Düşmanları öldürdüğünde 1 ruh çağırır. Ruhlar en yakın hedefe atılarak 8 hasar verir.","Lorsque des ennemis sont tués, un esprit est invoqué. Les esprits poursuivent les ennemis proches et leur infligent 8 points de dégâts.","Quando os inimigos são abatidos, invoca um espírito. Os espíritos perseguem os inimigos próximos e causam 8 de dano.","Quando os inimigos são abatidos, invoca um espírito. Os espíritos perseguem os inimigos próximos e causam 8 de dano.","적이 죽을 때마다 정령이 소환됩니다. 정령은 가까운 적을 추적하여 8 대미지를 가합니다.","Amikor ellenfeleket ölsz, idézz meg egy lelket. A lelkek kergetik az ellenfeleket és 8-at sebeznek.",""
"standard_mode_name","Standard Mode","標準モード","标准模式","標準模式","Обычный режим","Modo Estandar","Modo Estandar","Standartmodus","Tryb Standardowy","Partita Normale","Normal Oyun","Mode Standard","Modo Padrão","Modo Padrão","기본 모드","Alap Mód",""
"standard_mode_description","20 Minute Survival","20分間サバイバル","生存20分钟","生存20分鐘","Выжить 20 минут","20 Minutos de Supervivencia","20 Minutos de Supervivencia","20 Minuten Überleben","20-minutowy surwiwal","Sopravvivi 20 minuti","20 Dakika Hayatta Kalma","Survie 20 minutes","Sobreviva por 20 Minutos","Sobreviva por 20 Minutos","20분 생존","20 Perc Túlélés",""
"quickplay_mode_name","Quickplay Mode","クイックプレイモード","快速模式","快速模式","Быстрая игра","Modo Partida Rápida","Modo Partida Rápida","Schnellspiel","Tryb Szybkiej Gry","Partita Rapida","Hızlı Oyun","Mode partie rapide","Modo Rápido","Modo Rápido","퀵 모드","Gyorsjáték Mód",""
"quickplay_mode_description","10 Minute Survival<br>Faster XP Gain!<br>No Achievement Unlocks","10分間サバイバル<br>経験値の獲得アップ！<br>実績アンロックなし","生存10分钟<br>更多经验获取！<br>该模式无法解锁成就","生存10分鐘<br>經驗成長更快！<br>血量不會減少","Выжить 10 минут<br>Быстро заработать опыт!<br>Без Достижений","10 Minutos de Supervivencia<br>Ganancia Rápida de EXP!<br>Sin Desbloqueo de Logros","10 Minutos de Supervivencia<br>Ganancia Rápida de EXP!<br>Sin Desbloqueo de Logros","10 Minuten Überleben<br>Schneller Erfahrungspunkte sammeln!<br>Ohne Errungenschaften freizuschalten","10-minutowy surwiwal<br>Szybsze Zdobywanie XP!<br>Osiągnięcia są Zablokowane","Sopravvivi 10 minuti<br>Guadagni XP più in fretta<br>Non potrai sbloccare Achievement","10 Dakika Hayatta Kalma <br> Daha hızlı Beceri Puanı kazan! <br> Başarım kazanamazsın","Survie en 10 minutes<br>Gain d'XP plus rapide ! Pas de déblocage de succès","Sobreviva por 10 minutos<br>Ganhe EXP mais rápido!<br>Não desbloqueia conquistas.","Sobreviva por 10 minutos<br>Ganhe EXP mais rápido!<br>Não desbloqueia conquistas.","10분 생존<br>XP 습득량이 많아집니다!<br>도전과제를 해금할 수 없습니다.","10 Perc Túlélés<br>Több TP!<br>Teljesítmények Nem Feloldhatóak",""
"vision_range_label","Vision Range","視界範囲","可视范围","可視範圍","Радиус видимости","Rango de Visión","Rango de Visión","Sichtweite","Zasięg Widzenia","Raggio di Visione","Görüş Menzili","Portée de la Vision","Alcance da Visão","Alcance da Visão","시야 범위","Látókör",""
"pickup_range_label","Pickup Range","拾い範囲","拾取范围","拾取範圍","Радиус подбора","Rango de Recogida","Rango de Recogida","Reichweite","Zasięg Podnoszenia","Raggio di Raccoglimento","Yerden Alma Menzili","Portée de ramassage","Alcance da Coleta","Alcance da Coleta","XP 획득 범위","Gyűjtőtávolság",""
"pause_menu_resume","Resume","再開","继续","繼續","Дальше","Continuar","Continuar","Fortsetzen","Wznów","Riprendi","Devam Et","Continuer","Continuar","Continuar","이어하기","Folytatás",""
"pause_menu_give_up","Give Up","やめる","放弃","放棄","Сдаться","Rendirse","Rendirse","Aufgeben","Poddaj Się","Arrenditi","Pes Et","Abandonner","Desistir","Desistir","포기","Feladás",""
"rune_name_alacrity","Alacrity","素早さ","迅捷","迅捷","Готовность","Alacridad","Alacridad","Bereitwilligkeit","Ochoczość","Alacrità","Şevk","Alacrité","Destreza","Destreza","민첩","Fürgeség",""
"rune_description_alacrity","Fire Rate and Reload Rate +2% per rank.","発射速度とリロード速度がランクごとに+2%増加。","射速和换弹速度将提升（+2%/阶）。","射速和換彈速度將提升（+2%/級）","Скорость стрельбы и перезарядки увеличивается на 2% за уровень умения.","Cadencia Disparo y Tiempo de Recarga +2% por rango.","Cadencia Disparo y Tiempo de Recarga +2% por rango.","Feuerrate und Nachladegeschwindigkeit +2% pro Rang.","Szybkostrzelność i prędkość przeładowania wzrasta o +2% na rangę.","Aumenta del 2% il Rateo di Fuoco e la Velocità di Ricarica per ogni livello","Seviye başına %2 Atış Hızı ve Yeniden Doldurma Hızı sağlar.","Vitesse de Tir et Vitesse de Rechargement +2% par rang.","Taxa de Disparo e Taxa de Recarga +2% por nível.","Taxa de Disparo e Taxa de Recarga +2% por nível.","연사 속도 및 재장전 속도 증가 (랭크 당 +2%)","Tüzelési Sebesség és Újratöltés +2%-al nő szintenként.",""
"rune_name_mysticism","Mysticism","神秘","秘术","秘術","Мистицизм","Misticismo","Misticismo","Mystik","Mistyczność","Misticismo","Mistisizm","Mysticisme","Misticismo","Misticismo","신비주의","Misztikum",""
"rune_description_mysticism","Your bullets have a 2% chance per rank to inflict Burn or Freeze.","弾はランクごとに2%の確率で燃焼もしくは凍結を与える。","你的子弹有几率点燃或者冰冻敌人（+2%/阶）。","你的子彈有幾率點燃或者冰凍敵人（+2%/級）","Снаряды имеют 2% шанс поджечь или заморозить врага.","Tus balas tienen una chance del 2% por rango de infligir Quemar o Congelar.","Tus balas tienen una chance del 2% por rango de infligir Quemar o Congelar.","Deine Schüsse haben eine 2% Chance pro Rang Brand oder Frost zu verursachen.","Twoje pociski mają 2% szansy na rangę by Podpalić lub Zamrozić przeciwnika.","I tuoi proiettili hanno una chance del 2% per livello di infliggere Bruciatura o Gelo.","Mermilerin seviye başına %2 Yakma ya da Dondurma şansı sağlar.","Vos balles ont 2% de chances par rang d'infliger Brûlures ou Gel.","Os seus disparos têm 2% de chance por nível de infligir Queimação ou Congelamento.","Os seus disparos têm 2% de chance por nível de infligir Queimação ou Congelamento.","탄환이 화염이나 빙결을 가할 확률 증가 (랭크 당 +2%)","A kilőtt golyóknak 2% esélye van szintenként hogy Égést vagy Fagyást okozzon.",""
"rune_name_power","Power","パワー","力量","力量","Мощь","Poder","Poder","Macht","Moc","Potere","Güç","Puissance","Poder","Poder","힘","Erő",""
"rune_description_power","Bullet Damage and Summon Damage +2% per rank.","弾と召喚物のダメージがランクごとに2%増加。","子弹和召唤伤害将提升（+2%/阶）。","子彈和召喚傷害將提升（+2%/級）","Урон снарядов и призывов увеличивается на 2% за уровень умения.","Daño de Bala y Daño de Invocación +2% por rango.","Daño de Bala y Daño de Invocación +2% por rango.","Waffenschaden und Beschwörungsschaden +2% pro Rang.","Obrażenia od Pocisków i Przywołań wzrastają o +2% na rangę.","Aumenta del 2% per livello il Danno Proiettile e il Danno Evocazione","Seviye başına %2 Mermi Hasarı ve Çağırma Hasarı sağlar.","Dégâts des balles et dégâts d'invocation +2% par rang.","O Dano do Disparo e do Seguidor aumentam em +2% por nível.","O Dano do Disparo e do Seguidor aumentam em +2% por nível.","탄환 피해량, 소환수 피해량 증가 (랭크 당 +2%)","Golyó Sebzés és Idéző Sebzés 2%-al növekszik szintenként.",""
"rune_name_close_combat","Close Combat","近接戦闘","近战","近戰","Ближний бой","Combate cuerpo a cuerpo","Combate cuerpo a cuerpo","Nahkampf","Walka w Zwarciu","Corpo a Corpo","Yakın Dövüş","Combat rapproché","Combate Corpo a Corpo","Combate Corpo a Corpo","근접전투","Közelharc",""
"rune_description_close_combat","Enemies take 3% extra damage per rank while within your vision range.","視界内の敵に、ランクごとに3%の追加ダメージを与える。","可视范围内的敌人受到更多伤害（+3%/阶）。","視野範圍內的敵人受到更多傷害（+3%/級）","Враги в пределах видимости получают на 3% больше урона за уровень умения.","Los enemigos reciben 3% de daño adicional por rango mientras están en tu rango de visión.","Los enemigos reciben 3% de daño adicional por rango mientras están en tu rango de visión.","Gegner in deiner Sichtweite erleiden 3% mehr Schaden pro Rang.","Przeciwnicy dostają +3% więcej obrażeń kiedy znajdują się w zasięgu wzroku.","Infliggi il 3% di danno extra per livello ai nemici mentre sono all'interno del tuo raggio di visione.","Görüş açısı içerisinde bulunan düşmanlar seviye başına %3 ilave hasar alır.","Les ennemis subissent 3% de dégâts supplémentaires par rang lorsqu'ils se trouvent dans votre champ de vision.","Os inimigos recebem 3% de dano adicional por nível enquanto estiverem dentro do alcance de sua visão.","Os inimigos recebem 3% de dano adicional por nível enquanto estiverem dentro do alcance de sua visão.","시야 내의 적이 받는 피해 증가 (랭크 당 +3%)","Ellenfelek 3%-al több sebzést kapnak szintenként amíg a Látókörödön belül vannak.",""
"rune_name_elemental_barrage","Elemental Barrage","エレメンタルバラージ","元素射击","元素射擊","Стихийный обстрел","Bombardeo Elemental","Bombardeo Elemental","Elementares Sperrfeuer","Żywiołowy Ostrzał","Sbarramento Elementale","Elemental Baraj","Barrage élémentaire","Barragem Elemental","Barragem Elemental","원소 세례","Elemi Zárótűz",""
"rune_description_elemental_barrage","After inflicting Freeze or Burn 50 times, gain +50% Fire Rate and Reload Rate for 1 second per rank.","燃焼や凍結を50回与えるたび、ランクごとに1秒の間だけ発射速度およびリロード速度が50％増加。","造成50次燃烧或者冰冻后，射速和换弹速度将提升50%，持续1秒（+1秒/阶）","造成50次燃燒或者冰凍後，射速和換彈速度提升（+50%/級），持續1秒。","После нанесения поджога или заморозки 50 раз, увеличить скорость стрельбы и перезарядки на 50% на 1 секунду за уровень умения.","Luego de inflingir Congelar o Quemar 50 veces, gana +50% de Cadencia de Disparo y Tiempo de Recarga por 1s por rango.","Luego de inflingir Congelar o Quemar 50 veces, gana +50% de Cadencia de Disparo y Tiempo de Recarga por 1s por rango.","Nachdem du Frost oder Brand 50 mal verursachst hast, erhalte +50% Feuerrate und Nachladegeschwindigkeit für eine Sekunde pro Rang.","Po Podpaleniu lub Zamrożeniu przeciwników 50 razy, zyskaj +50% Szybkostrzelności i Prędkości Przeładowania na 1 sekundę na rangę.","Dopo aver inflitto Bruciatura o Gelo 50 volte, guadagna 50% di Rateo di Fuoco e Velocità di Ricarica per 1 secondo per livello.","Düşmanlara 50 kere Dondurma ya da Yakma etkisi altına aldığında Rün Seviyesi başına 1 saniyeliğine %50 Atış Hızı ve Yeniden Doldurma Hızı kazanırsın.","Après avoir infligé Gel ou Brûlure 50 fois, gagne +50% de Vitesse de Tir et de Recharge pendant 1 seconde par rang.","Após infligir Congelamento ou Queimação 50 vezes, ganhe +50% de Taxa de Disparo e Taxa de Recarga por 1 segundo por nível.","Após infligir Congelamento ou Queimação 50 vezes, ganhe +50% de Taxa de Disparo e Taxa de Recarga por 1 segundo por nível.","빙결 및 화염 공격을 50회 가할 때마다, 일정 시간동안 연사 속도 및 재장전 속도 50% 증가 (랭크 당 +1초)","Miután Fagyást vagy Égést okozol 50-szer, Tűzelési Sebesség és Újratöltés 50%-al megnövekedik 1 másodpercig, szintenként.",""
"rune_name_aftershock","Aftershock","余震","余震","餘震","Афтершок","Réplica","Réplica","Nachbeben","Wstrząs Wtórny","Scossa d'Assestamento","Artçı Şok","Contrecoup","Impacto Subsequente","Impacto Subsequente","여진","Utórengés",""
"rune_description_aftershock","After shooting your last ammo, deal damage to all nearby enemies. This damage is equal to 20% of you Bullet Damage per rank.","弾切れ時、近くの敵にランクごとに弾ダメージの20%を与える。","在射出最后一发子弹后，对周围敌人造成20%的子弹伤害（+20%/阶）。","在射出最後一發子彈，對周圍敵人造成20%的子彈傷害（+20%/級）。","Выстрелив последний снаряд магазина, нанести урон всем ближайшим врагам, что равен 20% от урона от снарядов за уровень умения","Luego de disparar tu última munición, inflige daño a todos los enemigos cercanos. El daño es igual al 20% de tu Daño de Bala por rango.","Luego de disparar tu última munición, inflige daño a todos los enemigos cercanos. El daño es igual al 20% de tu Daño de Bala por rango.","Verursache Schaden an allen nahen Gegnern, nachdem du deine letzte Munition geschossen hast. Dieser Schaden entspricht 20% deines Waffenschadens pro Rang.","Po wystrzeleniu ostatniego pocisku w magazynku, zadajesz obrażenia wszystkim pobliskim przeciwnikom. Te obrażenia są równe 20% twoich Obrażeń od Pocisku na rangę.","Dopo aver sparato l'ultimo proiettile, danneggia i nemici vicini del 20% del tuo Danno Proiettile per livello.","Son mermini ateşlediğinde etrafındaki düşmanlara hasar verirsin. Bu hasar Rün Seviyesi başına %20 Mermi Hasarıdır.","Après avoir tiré votre dernière munition, infligez des dégâts à tous les ennemis proches. Ces dégâts sont égaux à 20% de vos dégâts par balle par rang.","Após disparar a sua última munição, causa dano a todos os inimigos próximos. Este dano é igual a 20% de seu Dano de Disparo por nível.","Após disparar a sua última munição, causa dano a todos os inimigos próximos. Este dano é igual a 20% de seu Dano de Disparo por nível.","마지막 탄환 발사 후, 주위의 모든 적에게 탄환 피해량에 비례한 데미지를 가함 (랭크 당 +20%)","Miután kilőtted az utolsó golyót, minden ellenfelet a Golyó Sebzésed 20%-áért megsebzel magad körül, szintenként.",""
"rune_name_glass_cannon","Glass Cannon","グラスキャノン","玻璃大炮","玻璃大炮","Хрупкий убийца","Cañon de Cristal","Cañon de Cristal","Glaskanone","Szklana Armata","Cannone di Vetro","Cam Top","Tout ou Rien","Canhão de Vidro","Canhão de Vidro","유리 대포","Papírtigris",""
"rune_description_glass_cannon","Start the game with your HP at half of your max HP. Bullet Damage and Fire Rate +5% per rank.","半分のHPでゲームを開始し、弾のダメージと発射速度がランクごとに5%上昇。","半血开始游戏，子弹伤害和射速将提升（+5%/阶）。","半血開始遊戲，子彈傷害和射速將提升（+5%/級）。","Начинает с половиной от макс ОЗ. Урон от снарядов и скорость перезарядки увеличиваются на 5% за уровень умения.","Empieza el juego con tus PS a la mitad de tus PS max. El Daño de Bala y la Cadencia de Bala es de +5% por rango.","Empieza el juego con tus PS a la mitad de tus PS max. El Daño de Bala y la Cadencia de Bala es de +5% por rango.","Starte das Spiel mit der hälfte deiner Lebenspunkte. Waffenschaden und Feuerrate erhalten +5% pro Rang.","Zacznij grę z połową swojego maksymalnego HP. Obrażenia od Pocisku i Szybkostrzelność wzrasta o +5% na rangę.","Inizia la partita con la metà dei tuoi HP massimi. Il Danno Proiettile e il Rateo di Fuoco aumentano del 5%  per livello.","Oyuna %50 canla başlarsın. Rün Seviyesi başına Mermi Hasarı ve Atış Hızı 5% artar.","Commencez la partie avec la moitié de vos HP maximum. Dégâts des balles et cadence de tir +5% par rang.","Comece o jogo com os PV pela metade do seu máximo. Dano do Disparo e Taxa de Disparo aumentam em +5% por nível.","Comece o jogo com os PV pela metade do seu máximo. Dano do Disparo e Taxa de Disparo aumentam em +5% por nível.","절반의 HP로 시작, 탄환 피해량 및 연사 속도 증가 (랭크 당 +5%)","Kezd a játékot a maximum Életerőd felével. Golyó sebzés és Tűzelési Sebesség megnő +5%-al szintenként.",""
"rune_name_gun_glyph","Gun Glyph","ガングリフ","枪之烙印","槍之烙印","Оружейный глиф","Arma Glifo","Arma Glifo","Waffenglyphe","Glif Broni","Glifo delle Armi","Glif Silahı","Glyphe d'arme","Glifo de Arma","Glifo de Arma","마법진","Fegyver Véset",""
"rune_description_gun_glyph","Summon a Glyph every 10 seconds. After a few seconds, the Glyph explodes into 6 bullets that deal 10% damage. Reduce the time it takes to summon a Glyph by 1 second per rank.","10秒ごとに円形の紋様を召喚する。紋様は数秒後に弾のダメージ10%を与える弾6発に分裂する。ランクごとに発動間隔が1秒減少。","每10秒召唤一个印记，几秒延迟后，会射出6枚子弹，伤害等同于10%子弹伤害，每阶减少1秒CD。","每10秒召喚一個印記，幾秒延遲後，會射出6枚子彈，傷害等同於10%子彈傷害，每級減少1秒CD。","Призывает глиф каждые 10 секунд. Через несколько секунд глиф взрывается, разлетаясь на 6 снарядов, наносящих 10% урона. Время призыва глифа сокращается на 1 секунду за уровень умения.","Invoca un Glifo cada 10 segundos. Luego de unos segundos, el Glifo explota en 6 balas que hacen 10% de daño. Reduce el timepo que toma Invocar un Glifo por 1s por rango.","Invoca un Glifo cada 10 segundos. Luego de unos segundos, el Glifo explota en 6 balas que hacen 10% de daño. Reduce el timepo que toma Invocar un Glifo por 1s por rango.","Beschwöre eine Glyphe alle 10 Sekunden. Nach ein paar Sekunden explodiert die Glyphe zu 6 Projektilen, die 10% Schaden verursachen. Verringere die Zeit zum Beschwören der Glyphen um eine Sekunde pro Rang.","Przywołaj Glif co dziesięć sekund. Po kilku sekundach, Glif eksploduje zamieniając się w 6 pocisków, które zadają 10% obrażeń. Zredukuj czas wymagany do przywołania Glifu o 1 sekundę na rangę.","Evoca un Glifo ogni 10 secondi. Dopo qualche secondo, il Glifo esplode in 5 proiettili che infliggono il 10% del danno. Il tempo di evocazione del Glifo si riduce di 1 secondo per livello.","10 saniyede 1 Glif çağırırsın. Bu glif bir kaç saniye sonra patlayıp etrafa %10 Mermi Hasarı veren 6 mermi fırlatır. Rün Seviyesi başına glifin bekleme süresi 1 saniye azalır.","Invoquez un Glyphe toutes les 10 secondes. Après quelques secondes, le Glyphe explose en 6 balles qui infligent 10% de dégâts. Réduit le temps d'invocation d'un glyphe de 1 seconde par rang.","Conjura um Glifo a cada 10 segundos. Após alguns segundos, o Glifo explode, disparando 6 projéteis que causam 10% de dano. Cada nível reduz o tempo necessário para ativação do Glifo em 1 segundo.","Conjura um Glifo a cada 10 segundos. Após alguns segundos, o Glifo explode, disparando 6 projéteis que causam 10% de dano. Cada nível reduz o tempo necessário para ativação do Glifo em 1 segundo.","10초마다 마법진을 소환합니다. 마법진은 수 초 후 폭발하며 10%의 대미지를 입히는 6개의 탄환을 발사합니다.<br>마법진 소환 쿨타임 감소 (랭크 당 -1초)","Idézz meg egy Vésetet 10 másodpercenként, ami pár másodperc után 6 golyóvá robban szét, 10%-ot sebezve. Szintenként 1 másodpercel hamarabb tudod megidézni a Vésetet.",""
"rune_name_wild_magic","Wild Magic","ワイルドマジック","蔓延","蔓延","Дикая магия","Magia Salvaje","Magia Salvaje","Wilde Magie","Dzika Magia","Magia del Branco","Vahşi Büyü","Magie Sauvage","Magia Selvagem","Magia Selvagem","야생 마법","Vad Varázslat",""
"rune_description_wild_magic","When enemies die while Burning or Frozen, there is a 5% chance per rank of spreading their status effect to nearby enemies.","燃焼もしくは凍結中に敵が死亡した時、ランクごとに5%の確率で状態異常が周囲の敵に伝染する。","当敌人死亡时处于点燃或者冰冻状态，有几率（+5%/阶）将状态传染给附近的敌人。","當敵人死亡時處於點燃或者冰凍狀態，有幾率（+5%/級）將狀態傳染給附近的敵人。","При смерти подожженного или замороженного врага, 5% шанс за уровень умения передать его статус ближайшему врагу.","Cuando el enemigo muere por Quemar o Congelar, hay una chance del 5% por rango de esparcir el efecto de estado a los enemigos cercanos.","Cuando el enemigo muere por Quemar o Congelar, hay una chance del 5% por rango de esparcir el efecto de estado a los enemigos cercanos.","Wenn Gegner sterben während sie brennen oder vereist sind haben sie eine 5% Chance pro Rang ihren Statuseffekt zu nahen Gegnern zu verbreiten.","Kiedy przeciwnicy giną gdy się palą lub są zamrożeni, jest 5% szansy na rangę by ich efekt rozprzestrzenił się na pobliskich przeciwników.","Se un nemico muore durante Bruciatura o Geli, c'è una possibilità del 5% per livello di infliggere gli effetti ai nemici vicini.","Yanan ya da Donmuş rakipler öldüğünde Rün Seviyesi başına 5% şansla üstünde bulunan etkiyi etrafına dağıtır.","Lorsqu'un ennemi meurt alors qu'il est brûlé ou gelé, il a 5% de chances par rang de propager l'effet aux ennemis proches.","Quando um inimigo morrer sob Queimação ou Congelamento, existe 5% de chance por nível de espalharem esses efeitos para inimigos próximos.","Quando um inimigo morrer sob Queimação ou Congelamento, existe 5% de chance por nível de espalharem esses efeitos para inimigos próximos.","적이 빙결 혹은 발화 상태로 사망 시, 주위의 적에게 상태를 전염시킬 확률 증가 (랭크 당 +5%)","Amikor az ellenfelek meghalnak miközben Égnek vagy meg vannak Fagyva, szintenként 5% esély van arra, hogy más ellenfeleknek át adja a státusz effekteket.",""
"rune_name_cadence","Cadence","抑揚","韵律","韻律","Ритм","Cadencia","Cadencia","Kadenz","Rytm","Metronomo","Tempo","Cadence","Cadência","Cadência","종지부","Ütem",""
"rune_description_cadence","Every 3rd shot has infinite Piercing and double Bullet Size. This shot also deals +20% extra damage per rank.","3発ごとに発射される弾が全ての敵を貫通し、ランクごとに+20%の追加ダメージを与える。","每第3发子弹，会发射一颗能穿透所有敌人的大号子弹，并造成额外的子弹伤害（+20%/阶）。","每第3發子彈，會發射一顆能穿透所有敵人的大號子彈，並造成額外的子彈傷害（+20%/級）。","Каждый 3ий выстрел имеет бесконечное пронзание и увеличенный вдвое снаряд. Выстрел наносит на 20% больше урона за уровень умения.","Cada 3er disparo tiene Penetración infinita y Tamaño de Bala doble. Este tiro además hace +20% de daño extra por rango.","Cada 3er disparo tiene Penetración infinita y Tamaño de Bala doble. Este tiro además hace +20% de daño extra por rango.","Jeder dritte Schuss kann unendlich Gegner durchdringen und erhält doppelte Projektilgröße. Dieser Schuss verursacht außerdem +20% mehr Schaden pro Rang.","Co trzeci strzał ma nieskończoną penetrację i podwójny rozmiar. Strzał ten zadaje również +20% dodatkowych obrażeń na rangę.","Ogni terzo colpo ha Penetrazione infinita e dimensioni raddoppiate. Questo proiettile infligge 20% danni extra per livello.","Her 3. mermi sınırsız Delme ve Mermi boyutu 2 katına çıkar. Bu mermi Rün Seviyesi başına ilave olarak %20 Mermi Hasarı da kazanır.","Chaque 3ème tir a une Perforation Infinie et une Taille de balle doublée. Ce tir inflige également +20% de dégâts supplémentaires par rang.","Cada terceiro disparo tem Perfuração infinita e Tamanho do Disparo dobrado. Este disparo também causa +20% de dano adicional por nível.","Cada terceiro disparo tem Perfuração infinita e Tamanho do Disparo dobrado. Este disparo também causa +20% de dano adicional por nível.","매 3번째 탄환은 2배의 크기와 무한한 관통력을 가지며, 탄환 피해량에 비례한 추가 피해량을 가집니다.<br>추가 피해량 증가 (랭크 당 +20%)","Minden harmadik lövedéknek végtelen Átütése és dupla Golyó Mérete van. Ez a lövedék +20%-al többet sebez szintenként.",""
"rune_name_dedication","Dedication","献身","独宠","盡心盡力","Преданность","Dedicación","Dedicación","Hingabe","Dedykacja","Dedizione","Özverili","Dévouement","Dedicação","Dedicação","헌정사","Odaadás",""
